,Instance,h_min,h,time,h_rotation,time_rotation
0,1,8,8,0.06101512908935547,8,0.07425212860107422
1,2,9,9,0.08820295333862305,9,0.10632181167602539
2,3,10,10,0.13040709495544434,10,0.16396713256835938
3,4,11,11,0.1918504238128662,11,1.0272226333618164
4,5,12,12,0.26122379302978516,12,0.3804290294647217
5,6,13,13,0.36061906814575195,13,0.49248409271240234
6,7,14,14,0.3809230327606201,14,0.554527997970581
7,8,15,15,0.4997429847717285,15,0.6677689552307129
8,9,16,16,0.6219208240509033,16,0.7183470726013184
9,10,17,17,0.8615827560424805,17,2.2315547466278076
10,11,18,18,2.341236114501953,18,2.880396842956543
11,12,19,19,1.4527411460876465,19,2.9528160095214844
12,13,20,20,1.394968032836914,20,1.828597068786621
13,14,21,21,1.9182331562042236,21,2.2011067867279053
14,15,22,22,1.9001219272613525,22,6.5622289180755615
15,16,23,23,5.294116973876953,23,31.645566940307617
16,17,24,24,3.7352898120880127,24,4.8161540031433105
17,18,25,25,3.0670931339263916,25,86.70041990280151
18,19,26,26,17.45846199989319,26,156.38235521316528
19,20,27,27,4.724967002868652,27,125.65934634208679
20,21,28,28,4.753607749938965,28,226.57500624656677
21,22,29,29,25.173341035842896,29,108.42845916748047
22,23,30,30,10.027963876724243,30,51.12201118469238
23,24,31,31,4.338954925537109,31,13.979869842529297
24,25,32,32,16.02520990371704,DNF,TIMEOUT
25,26,33,33,8.793869018554688,33,33.699199199676514
26,27,34,34,5.450192928314209,34,20.66587209701538
27,28,35,35,15.110121965408325,35,46.50080466270447
28,29,36,36,7.799665927886963,36,33.77500891685486
29,30,37,DNF,TIMEOUT,37,215.62503719329834
30,31,38,38,6.222880840301514,38,7.02535605430603
31,32,39,DNF,TIMEOUT,DNF,TIMEOUT
32,33,40,40,8.680678844451904,40,22.065324068069458
33,34,40,40,6.401514053344727,DNF,TIMEOUT
34,35,40,40,17.382309198379517,40,11.606964826583862
35,36,40,40,14.505700826644897,DNF,TIMEOUT
36,37,60,60,212.95853519439697,DNF,TIMEOUT
37,38,60,DNF,TIMEOUT,60,125.09063601493835
38,39,60,60,74.3921070098877,DNF,TIMEOUT
39,40,90,DNF,TIMEOUT,DNF,TIMEOUT
