Instance,Gecode w/out SB,Gecode + SB,Chuffed w/out SB,Chuffed + SB
1,0.21617507934570312,0.21508097648620605,0.1629939079284668,0.16238999366760254
2,0.22179603576660156,0.2124319076538086,0.16859912872314453,0.16866374015808105
3,0.22182679176330566,0.23050689697265625,0.17215585708618164,0.16762804985046387
4,0.26836395263671875,0.21619796752929688,0.17386102676391602,0.1763148307800293
5,0.26610422134399414,0.3041231632232666,0.1678609848022461,0.24730587005615234
6,0.23496103286743164,0.23647785186767578,0.3189702033996582,0.33528614044189453
7,0.31806302070617676,0.21860718727111816,0.42760801315307617,0.2934601306915283
8,0.26984405517578125,0.33706188201904297,0.1793079376220703,0.5196402072906494
9,0.4048349857330322,0.22703099250793457,0.17844200134277344,0.3105900287628174
10,0.3001227378845215,0.26560401916503906,1.743499994277954,0.9051599502563477
11,H,H,9.739289045333862,4.608354091644287
12,0.47008180618286133,0.4870569705963135,1.2064802646636963,1.6299781799316406
13,0.6136629581451416,0.405275821685791,0.5589520931243896,1.015242099761963
14,0.5880551338195801,0.4159359931945801,0.6083199977874756,1.8756818771362305
15,0.5533468723297119,0.36342906951904297,0.9687590599060059,1.8491628170013428
16,H,H,2.6219472885131836,4.21320915222168
17,H,H,1.1067919731140137,4.975690126419067
18,H,H,2.414001941680908,3.6755316257476807
19,H,H,19.170718908309937,21.528820991516113
20,H,H,23.851943969726562,6.950096130371094
21,H,H,31.193725109100342,28.61749005317688
22,H,H,141.60442638397217,53.288394927978516
23,H,H,27.497780084609985,6.677265167236328
24,H,H,9.315481901168823,4.144766092300415
25,H,H,H,241.13578701019287
26,H,H,6.711246967315674,9.954570055007935
27,H,H,10.462973833084106,2.49064302444458
28,H,H,32.15872311592102,23.62024211883545
29,H,H,2.097986936569214,4.050129175186157
30,H,H,H,78.33737015724182
31,H,H,4.757524013519287,2.44112491607666
32,H,H,143.68379616737366,H
33,H,H,3.6465201377868652,53.54934787750244
34,H,H,11.503214120864868,10.447846174240112
35,H,H,1.1927430629730225,8.379722833633423
36,H,H,1.0847570896148682,1.346662998199463
37,H,H,131.63854908943176,H
38,H,H,185.49283480644226,H
39,H,H,291.6298339366913,199.9141080379486
40,H,H,H,H
